team_a,team_b,goals_a,goals_b,outcome,rating_a,rating_b,prob_a_win,prob_draw,prob_b_win,neutral,stage,year
Wales,France,2,3,away_win,1610,1840,0.1513,0.28,0.5687,True,quarter,2024
Croatia,Senegal,1,2,away_win,1700,1610,0.4512,0.28,0.2688,True,round_of_16,2024
Italy,Switzerland,0,3,away_win,1710,1660,0.4115,0.28,0.3085,True,quarter,2014
USA,Costa Rica,3,3,draw,1620,1510,0.4703,0.28,0.2497,True,friendly,2024
Australia,Portugal,3,2,home_win,1580,1760,0.1886,0.28,0.5314,True,friendly,2010
Japan,Wales,2,3,away_win,1640,1610,0.391,0.28,0.329,True,round_of_16,2018
Morocco,Uruguay,1,0,home_win,1650,1680,0.329,0.28,0.391,True,semi,2023
Ghana,Argentina,2,3,away_win,1550,1850,0.1087,0.28,0.6113,True,group,2024
South Korea,Morocco,1,0,home_win,1590,1650,0.2984,0.28,0.4216,True,final,2017
Saudi Arabia,Serbia,2,1,home_win,1620,1595,0.3859,0.28,0.3341,False,group,2010
USA,Germany,2,1,home_win,1620,1780,0.205,0.28,0.515,True,group,2019
USA,Cameroon,2,2,draw,1720,1560,0.515,0.28,0.205,False,quarter,2010
England,Spain,1,0,home_win,1790,1800,0.3496,0.28,0.3704,True,group,2020
Cameroon,USA,2,1,home_win,1560,1620,0.2984,0.28,0.4216,True,round_of_16,2015
South Korea,Argentina,2,3,away_win,1590,1850,0.1317,0.28,0.5883,True,round_of_16,2012
Mexico,Ecuador,3,2,home_win,1630,1570,0.4216,0.28,0.2984,True,friendly,2012
Denmark,Iran,5,1,home_win,1770,1530,0.5755,0.28,0.1445,False,semi,2013
Tunisia,Switzerland,3,3,draw,1640,1660,0.3393,0.28,0.3807,False,friendly,2014
Belgium,Wales,0,0,draw,1720,1610,0.4703,0.28,0.2497,True,friendly,2019
Qatar,Argentina,2,3,away_win,1490,1850,0.0805,0.28,0.6395,True,friendly,2017
Germany,Netherlands,2,3,away_win,1780,1750,0.391,0.28,0.329,True,final,2020
Poland,Italy,2,3,away_win,1600,1710,0.2497,0.28,0.4703,True,friendly,2012
Morocco,Australia,1,1,draw,1650,1580,0.4316,0.28,0.2884,True,quarter,2010
Poland,Morocco,2,1,home_win,1600,1650,0.3085,0.28,0.4115,True,group,2022
Saudi Arabia,Croatia,3,4,away_win,1520,1700,0.1886,0.28,0.5314,True,quarter,2020
Costa Rica,Spain,2,1,home_win,1510,1800,0.1141,0.28,0.6059,True,friendly,2021
Portugal,Italy,6,6,draw,1760,1710,0.4115,0.28,0.3085,True,group,2023
Tunisia,Cameroon,0,1,away_win,1540,1560,0.3393,0.28,0.3807,True,friendly,2022
Poland,Italy,2,1,home_win,1600,1710,0.2497,0.28,0.4703,True,friendly,2024
Canada,Japan,6,6,draw,1560,1640,0.2785,0.28,0.4415,True,friendly,2017
Spain,Cameroon,1,0,home_win,1900,1560,0.6309,0.28,0.0891,False,group,2017
Qatar,Costa Rica,2,3,away_win,1490,1510,0.3393,0.28,0.3807,True,group,2011
Germany,Japan,1,2,away_win,1780,1640,0.4977,0.28,0.2223,True,group,2023
Australia,Belgium,0,2,away_win,1580,1720,0.2223,0.28,0.4977,True,group,2016
Qatar,Australia,2,1,home_win,1490,1580,0.2688,0.28,0.4512,True,friendly,2011
Croatia,Argentina,0,1,away_win,1700,1850,0.2136,0.28,0.5064,True,round_of_16,2011
Poland,Germany,0,1,away_win,1600,1780,0.1886,0.28,0.5314,True,round_of_16,2025
Ecuador,Switzerland,2,3,away_win,1570,1660,0.2688,0.28,0.4512,True,friendly,2018
Brazil,Belgium,2,1,home_win,1920,1720,0.547,0.28,0.173,False,friendly,2011
Iran,Mexico,0,0,draw,1630,1630,0.36,0.28,0.36,False,round_of_16,2021
Qatar,England,1,1,draw,1490,1790,0.1087,0.28,0.6113,True,group,2022
Ecuador,South Korea,3,3,draw,1570,1590,0.3393,0.28,0.3807,True,final,2021
Germany,Ghana,4,0,home_win,1780,1550,0.5687,0.28,0.1513,True,friendly,2011
Iran,Costa Rica,2,2,draw,1530,1510,0.3807,0.28,0.3393,True,quarter,2025
Germany,England,0,1,away_win,1880,1790,0.4512,0.28,0.2688,False,friendly,2021
Italy,Portugal,2,0,home_win,1710,1760,0.3085,0.28,0.4115,True,friendly,2017
Cameroon,Ecuador,1,2,away_win,1660,1570,0.4512,0.28,0.2688,False,round_of_16,2014
Poland,Qatar,1,2,away_win,1600,1490,0.4703,0.28,0.2497,True,group,2014
Saudi Arabia,Germany,2,3,away_win,1620,1780,0.205,0.28,0.515,False,group,2018
Senegal,Belgium,4,4,draw,1610,1720,0.2497,0.28,0.4703,True,group,2019
Australia,Croatia,1,1,draw,1580,1700,0.2404,0.28,0.4796,True,friendly,2012
Spain,South Korea,1,1,draw,1900,1590,0.6165,0.28,0.1035,False,friendly,2025
Saudi Arabia,Italy,2,2,draw,1620,1710,0.2688,0.28,0.4512,False,friendly,2012
Switzerland,Tunisia,1,2,away_win,1660,1540,0.4796,0.28,0.2404,True,round_of_16,2014
Wales,Croatia,1,2,away_win,1710,1700,0.3704,0.28,0.3496,False,group,2020
Canada,Belgium,1,2,away_win,1660,1720,0.2984,0.28,0.4216,False,quarter,2021
Denmark,Argentina,2,2,draw,1670,1850,0.1886,0.28,0.5314,True,group,2013
France,Serbia,5,2,home_win,1840,1595,0.5787,0.28,0.1413,True,friendly,2010
Qatar,Argentina,0,1,away_win,1490,1850,0.0805,0.28,0.6395,True,friendly,2024
Brazil,Ghana,3,1,home_win,1920,1550,0.6435,0.28,0.0765,False,group,2018
Ghana,Serbia,0,2,away_win,1550,1595,0.3136,0.28,0.4064,True,group,2016
Costa Rica,Wales,1,1,draw,1510,1610,0.2592,0.28,0.4608,True,friendly,2019
Netherlands,Croatia,4,3,home_win,1850,1700,0.5064,0.28,0.2136,False,group,2021
Wales,Qatar,0,1,away_win,1610,1490,0.4796,0.28,0.2404,True,friendly,2023
Cameroon,Canada,1,2,away_win,1660,1560,0.4608,0.28,0.2592,False,final,2019
USA,Mexico,3,4,away_win,1620,1630,0.3496,0.28,0.3704,True,friendly,2024
Ecuador,Iran,0,0,draw,1570,1530,0.4013,0.28,0.3187,True,final,2016
Switzerland,Italy,6,5,home_win,1660,1710,0.3085,0.28,0.4115,True,friendly,2010
Serbia,Portugal,3,1,home_win,1695,1760,0.2934,0.28,0.4266,False,group,2017
Italy,Spain,2,3,away_win,1810,1800,0.3704,0.28,0.3496,False,quarter,2013
Ghana,Germany,1,5,away_win,1550,1780,0.1513,0.28,0.5687,True,final,2017
Brazil,Japan,2,1,home_win,1920,1640,0.6002,0.28,0.1198,False,friendly,2022
Australia,Qatar,2,3,away_win,1580,1490,0.4512,0.28,0.2688,True,group,2020
Senegal,Mexico,1,0,home_win,1610,1630,0.3393,0.28,0.3807,True,round_of_16,2010
Saudi Arabia,Senegal,1,4,away_win,1520,1610,0.2688,0.28,0.4512,True,group,2014
Uruguay,Iran,3,3,draw,1680,1530,0.5064,0.28,0.2136,True,quarter,2014
South Korea,Spain,1,2,away_win,1590,1800,0.1655,0.28,0.5545,True,group,2010
Saudi Arabia,Ghana,1,2,away_win,1620,1550,0.4316,0.28,0.2884,False,semi,2011
Switzerland,Costa Rica,1,1,draw,1660,1510,0.5064,0.28,0.2136,True,group,2019
Qatar,Argentina,3,4,away_win,1490,1850,0.0805,0.28,0.6395,True,friendly,2021
Belgium,Senegal,3,1,home_win,1720,1610,0.4703,0.28,0.2497,True,group,2024
Canada,Germany,1,2,away_win,1560,1780,0.1583,0.28,0.5617,True,group,2014
Japan,Denmark,2,2,draw,1640,1670,0.329,0.28,0.391,True,friendly,2025
Japan,South Korea,1,1,draw,1640,1590,0.4115,0.28,0.3085,True,final,2018
Belgium,Serbia,1,1,draw,1720,1595,0.4842,0.28,0.2358,True,friendly,2015
Ecuador,Germany,2,1,home_win,1670,1780,0.2497,0.28,0.4703,False,group,2020
Netherlands,South Korea,3,4,away_win,1750,1590,0.515,0.28,0.205,True,friendly,2014
Japan,England,1,1,draw,1640,1790,0.2136,0.28,0.5064,True,semi,2017
Senegal,Ghana,1,1,draw,1710,1550,0.515,0.28,0.205,False,friendly,2011
Canada,Belgium,1,2,away_win,1560,1720,0.205,0.28,0.515,True,group,2020
Netherlands,Qatar,3,2,home_win,1750,1490,0.5883,0.28,0.1317,True,quarter,2013
Iran,Japan,1,2,away_win,1530,1640,0.2497,0.28,0.4703,True,friendly,2010
Denmark,Germany,3,2,home_win,1670,1780,0.2497,0.28,0.4703,True,quarter,2021
South Korea,Senegal,3,2,home_win,1590,1610,0.3393,0.28,0.3807,True,group,2020
Ghana,USA,0,2,away_win,1550,1620,0.2884,0.28,0.4316,True,group,2024
Italy,Denmark,1,0,home_win,1710,1670,0.4013,0.28,0.3187,True,group,2010
England,Costa Rica,5,0,home_win,1790,1510,0.6002,0.28,0.1198,True,quarter,2022
Poland,Qatar,1,1,draw,1600,1490,0.4703,0.28,0.2497,True,group,2017
Ecuador,Portugal,2,2,draw,1570,1760,0.1807,0.28,0.5393,True,semi,2011
Senegal,France,3,2,home_win,1610,1840,0.1513,0.28,0.5687,True,semi,2018
Belgium,Wales,4,0,home_win,1720,1610,0.4703,0.28,0.2497,True,group,2010
Croatia,Qatar,2,0,home_win,1700,1490,0.5545,0.28,0.1655,True,friendly,2017
Ghana,England,3,2,home_win,1650,1790,0.2223,0.28,0.4977,False,group,2014
Croatia,Germany,2,0,home_win,1700,1780,0.2785,0.28,0.4415,True,group,2020
Ghana,South Korea,2,1,home_win,1550,1590,0.3187,0.28,0.4013,True,group,2024
Spain,Saudi Arabia,2,1,home_win,1800,1520,0.6002,0.28,0.1198,True,group,2024
Ecuador,Portugal,0,1,away_win,1570,1760,0.1807,0.28,0.5393,True,round_of_16,2023
Spain,Saudi Arabia,2,1,home_win,1800,1520,0.6002,0.28,0.1198,True,group,2017
Switzerland,USA,1,1,draw,1660,1620,0.4013,0.28,0.3187,True,group,2023
Japan,Croatia,1,0,home_win,1640,1700,0.2984,0.28,0.4216,True,friendly,2014
Poland,Portugal,2,1,home_win,1600,1760,0.205,0.28,0.515,True,friendly,2017
Ghana,Japan,2,1,home_win,1550,1640,0.2688,0.28,0.4512,True,friendly,2016
England,Italy,1,1,draw,1790,1710,0.4415,0.28,0.2785,True,friendly,2024
France,Senegal,1,0,home_win,1840,1610,0.5687,0.28,0.1513,True,friendly,2023
Morocco,Mexico,2,1,home_win,1750,1630,0.4796,0.28,0.2404,False,final,2022
Netherlands,Cameroon,1,0,home_win,1850,1560,0.6059,0.28,0.1141,False,friendly,2024
Ghana,Serbia,0,0,draw,1550,1595,0.3136,0.28,0.4064,True,friendly,2020
Portugal,Ghana,0,0,draw,1860,1550,0.6165,0.28,0.1035,False,quarter,2024
Senegal,Australia,2,3,away_win,1610,1580,0.391,0.28,0.329,True,group,2024
Croatia,Switzerland,1,2,away_win,1700,1660,0.4013,0.28,0.3187,True,friendly,2022
Switzerland,Japan,0,0,draw,1660,1640,0.3807,0.28,0.3393,True,group,2012
Argentina,Saudi Arabia,1,1,draw,1850,1520,0.6263,0.28,0.0937,True,friendly,2025
Senegal,France,3,2,home_win,1710,1840,0.2313,0.28,0.4887,False,friendly,2010
Wales,Poland,2,3,away_win,1710,1600,0.4703,0.28,0.2497,False,final,2015
France,England,2,3,away_win,1840,1790,0.4115,0.28,0.3085,True,group,2016
France,Croatia,3,1,home_win,1940,1700,0.5755,0.28,0.1445,False,round_of_16,2022
Italy,Serbia,1,2,away_win,1710,1595,0.475,0.28,0.245,True,friendly,2015
Tunisia,Qatar,3,1,home_win,1640,1490,0.5064,0.28,0.2136,False,round_of_16,2013
Cameroon,Netherlands,3,4,away_win,1660,1750,0.2688,0.28,0.4512,False,group,2019
Canada,Spain,1,2,away_win,1560,1800,0.1445,0.28,0.5755,True,round_of_16,2022
Croatia,Australia,4,3,home_win,1700,1580,0.4796,0.28,0.2404,True,group,2017
Mexico,South Korea,0,1,away_win,1730,1590,0.4977,0.28,0.2223,False,group,2019
Switzerland,Poland,2,2,draw,1660,1600,0.4216,0.28,0.2984,True,semi,2024
Canada,Italy,2,2,draw,1660,1710,0.3085,0.28,0.4115,False,friendly,2019
France,Uruguay,4,0,home_win,1840,1680,0.515,0.28,0.205,True,group,2021
Ecuador,Mexico,2,1,home_win,1570,1630,0.2984,0.28,0.4216,True,final,2025
Netherlands,Cameroon,3,0,home_win,1850,1560,0.6059,0.28,0.1141,False,quarter,2010
Brazil,Iran,1,0,home_win,1820,1530,0.6059,0.28,0.1141,True,group,2016
Senegal,Ghana,0,0,draw,1710,1550,0.515,0.28,0.205,False,group,2023
Italy,Iran,1,0,home_win,1710,1530,0.5314,0.28,0.1886,True,quarter,2012
Iran,Wales,2,0,home_win,1630,1610,0.3807,0.28,0.3393,False,friendly,2021
Mexico,Serbia,3,2,home_win,1630,1595,0.3961,0.28,0.3239,True,quarter,2010
France,Costa Rica,3,4,away_win,1840,1510,0.6263,0.28,0.0937,True,quarter,2013
Qatar,Serbia,1,2,away_win,1490,1595,0.2544,0.28,0.4656,True,friendly,2010
Canada,Netherlands,4,5,away_win,1560,1750,0.1807,0.28,0.5393,True,friendly,2017
Belgium,Wales,2,3,away_win,1720,1610,0.4703,0.28,0.2497,True,friendly,2013
South Korea,Netherlands,1,1,draw,1690,1750,0.2984,0.28,0.4216,False,friendly,2015
Uruguay,Brazil,1,2,away_win,1680,1820,0.2223,0.28,0.4977,True,round_of_16,2019
Uruguay,Saudi Arabia,1,0,home_win,1680,1520,0.515,0.28,0.205,True,friendly,2024
Costa Rica,Uruguay,2,3,away_win,1510,1680,0.1967,0.28,0.5233,True,group,2024
Morocco,Japan,1,2,away_win,1750,1640,0.4703,0.28,0.2497,False,group,2015
Ghana,Cameroon,3,4,away_win,1550,1560,0.3496,0.28,0.3704,True,friendly,2012
Netherlands,South Korea,1,3,away_win,1750,1590,0.515,0.28,0.205,True,friendly,2019
Uruguay,Iran,0,2,away_win,1680,1530,0.5064,0.28,0.2136,True,round_of_16,2024
Portugal,Italy,6,5,home_win,1760,1710,0.4115,0.28,0.3085,True,group,2017
South Korea,Morocco,1,1,draw,1590,1650,0.2984,0.28,0.4216,True,friendly,2017
Portugal,Iran,3,2,home_win,1860,1530,0.6263,0.28,0.0937,False,friendly,2018
Costa Rica,Uruguay,3,4,away_win,1510,1680,0.1967,0.28,0.5233,True,friendly,2014
Costa Rica,Cameroon,1,3,away_win,1510,1560,0.3085,0.28,0.4115,True,friendly,2024
Uruguay,Netherlands,0,0,draw,1680,1750,0.2884,0.28,0.4316,True,friendly,2023
South Korea,Saudi Arabia,4,5,away_win,1590,1520,0.4316,0.28,0.2884,True,group,2021
England,Saudi Arabia,0,0,draw,1890,1520,0.6435,0.28,0.0765,False,group,2012
France,Germany,0,0,draw,1940,1780,0.515,0.28,0.205,False,group,2023
Italy,Netherlands,2,1,home_win,1710,1750,0.3187,0.28,0.4013,True,quarter,2019
Tunisia,Cameroon,1,0,home_win,1540,1560,0.3393,0.28,0.3807,True,group,2022
Brazil,Uruguay,0,1,away_win,1820,1680,0.4977,0.28,0.2223,True,semi,2010
Ecuador,Ghana,4,1,home_win,1570,1550,0.3807,0.28,0.3393,True,group,2022
Serbia,Canada,2,1,home_win,1695,1560,0.4932,0.28,0.2268,False,friendly,2011
Iran,South Korea,2,0,home_win,1530,1590,0.2984,0.28,0.4216,True,semi,2022
Spain,Netherlands,1,0,home_win,1900,1750,0.5064,0.28,0.2136,False,round_of_16,2012
France,Poland,5,0,home_win,1840,1600,0.5755,0.28,0.1445,True,friendly,2020
Brazil,Iran,3,3,draw,1820,1530,0.6059,0.28,0.1141,True,group,2015
Croatia,Ecuador,3,1,home_win,1700,1570,0.4887,0.28,0.2313,True,friendly,2016
Croatia,Italy,3,3,draw,1800,1710,0.4512,0.28,0.2688,False,friendly,2011
Argentina,Netherlands,4,3,home_win,1950,1750,0.547,0.28,0.173,False,friendly,2021
South Korea,Costa Rica,3,0,home_win,1690,1510,0.5314,0.28,0.1886,False,group,2013
Cameroon,Poland,0,0,draw,1660,1600,0.4216,0.28,0.2984,False,friendly,2019
Wales,Germany,1,0,home_win,1610,1780,0.1967,0.28,0.5233,True,group,2018
Portugal,Spain,0,1,away_win,1760,1800,0.3187,0.28,0.4013,True,final,2010
Poland,Iran,1,1,draw,1600,1530,0.4316,0.28,0.2884,True,friendly,2011
Ecuador,Serbia,3,2,home_win,1570,1595,0.3341,0.28,0.3859,True,quarter,2021
Mexico,Cameroon,0,1,away_win,1630,1560,0.4316,0.28,0.2884,True,friendly,2020
Tunisia,Brazil,2,3,away_win,1540,1820,0.1198,0.28,0.6002,True,group,2013
Senegal,Poland,1,2,away_win,1710,1600,0.4703,0.28,0.2497,False,group,2024
Germany,Ecuador,3,2,home_win,1780,1570,0.5545,0.28,0.1655,True,friendly,2011
Ecuador,Saudi Arabia,3,0,home_win,1570,1520,0.4115,0.28,0.3085,True,round_of_16,2010
Cameroon,Morocco,0,0,draw,1560,1650,0.2688,0.28,0.4512,True,round_of_16,2025
Switzerland,Portugal,2,1,home_win,1760,1760,0.36,0.28,0.36,False,semi,2024
Ghana,Mexico,1,2,away_win,1550,1630,0.2785,0.28,0.4415,True,quarter,2020
Wales,Cameroon,0,0,draw,1710,1560,0.5064,0.28,0.2136,False,group,2012
Australia,France,0,0,draw,1580,1840,0.1317,0.28,0.5883,True,semi,2022
Poland,Japan,0,3,away_win,1600,1640,0.3187,0.28,0.4013,True,friendly,2011
Poland,Switzerland,3,4,away_win,1600,1660,0.2984,0.28,0.4216,True,friendly,2014
Serbia,Italy,5,4,home_win,1595,1710,0.245,0.28,0.475,True,friendly,2018
Mexico,France,1,1,draw,1630,1840,0.1655,0.28,0.5545,True,group,2010
Tunisia,Japan,2,2,draw,1540,1640,0.2592,0.28,0.4608,True,quarter,2015
Cameroon,Denmark,1,5,away_win,1560,1670,0.2497,0.28,0.4703,True,group,2017
Senegal,Switzerland,1,2,away_win,1610,1660,0.3085,0.28,0.4115,True,group,2015
Brazil,Croatia,0,2,away_win,1820,1700,0.4796,0.28,0.2404,True,quarter,2020
Senegal,Germany,5,6,away_win,1610,1780,0.1967,0.28,0.5233,True,friendly,2010
Brazil,Denmark,1,2,away_win,1820,1670,0.5064,0.28,0.2136,True,round_of_16,2019
Japan,Belgium,1,1,draw,1640,1720,0.2785,0.28,0.4415,True,friendly,2020
Tunisia,Uruguay,1,2,away_win,1540,1680,0.2223,0.28,0.4977,True,round_of_16,2013
Cameroon,Qatar,3,2,home_win,1560,1490,0.4316,0.28,0.2884,True,friendly,2016
Qatar,Poland,2,2,draw,1490,1600,0.2497,0.28,0.4703,True,group,2015
Australia,Portugal,3,3,draw,1580,1760,0.1886,0.28,0.5314,True,friendly,2024
Saudi Arabia,Serbia,1,3,away_win,1520,1595,0.2835,0.28,0.4365,True,semi,2020
Canada,USA,0,0,draw,1660,1620,0.4013,0.28,0.3187,False,group,2014
Argentina,Switzerland,1,0,home_win,1850,1660,0.5393,0.28,0.1807,True,round_of_16,2018
Ecuador,Wales,2,2,draw,1570,1610,0.3187,0.28,0.4013,True,group,2024
Mexico,Portugal,3,0,home_win,1730,1760,0.329,0.28,0.391,False,group,2025
Canada,Argentina,1,2,away_win,1560,1850,0.1141,0.28,0.6059,True,group,2023
Germany,Mexico,2,1,home_win,1780,1630,0.5064,0.28,0.2136,True,friendly,2019
Uruguay,Australia,0,0,draw,1680,1580,0.4608,0.28,0.2592,True,friendly,2014
Netherlands,Qatar,4,0,home_win,1850,1490,0.6395,0.28,0.0805,False,friendly,2013
Senegal,Portugal,1,2,away_win,1610,1760,0.2136,0.28,0.5064,True,group,2019
Uruguay,Italy,0,5,away_win,1680,1710,0.329,0.28,0.391,True,group,2020
Brazil,Spain,2,1,home_win,1920,1800,0.4796,0.28,0.2404,False,friendly,2012
Denmark,Mexico,4,3,home_win,1670,1630,0.4013,0.28,0.3187,True,round_of_16,2015
Australia,Italy,3,4,away_win,1580,1710,0.2313,0.28,0.4887,True,friendly,2011
Argentina,Germany,1,0,home_win,1850,1780,0.4316,0.28,0.2884,True,group,2021
Ecuador,Spain,4,5,away_win,1570,1800,0.1513,0.28,0.5687,True,round_of_16,2014
Argentina,Belgium,0,1,away_win,1850,1720,0.4887,0.28,0.2313,True,friendly,2023
France,Germany,2,1,home_win,1840,1780,0.4216,0.28,0.2984,True,friendly,2015
Netherlands,Switzerland,3,2,home_win,1750,1660,0.4512,0.28,0.2688,True,friendly,2014
Iran,Ecuador,1,1,draw,1530,1570,0.3187,0.28,0.4013,True,group,2015
Uruguay,Serbia,2,3,away_win,1680,1595,0.4464,0.28,0.2736,True,friendly,2025
Portugal,Belgium,1,2,away_win,1760,1720,0.4013,0.28,0.3187,True,friendly,2015
Belgium,Italy,0,1,away_win,1720,1710,0.3704,0.28,0.3496,True,friendly,2019
Croatia,Iran,0,0,draw,1700,1530,0.5233,0.28,0.1967,True,group,2014
Netherlands,Senegal,1,2,away_win,1850,1610,0.5755,0.28,0.1445,False,friendly,2023
Qatar,Australia,0,0,draw,1490,1580,0.2688,0.28,0.4512,True,friendly,2015
Denmark,Portugal,2,3,away_win,1670,1760,0.2688,0.28,0.4512,True,friendly,2011
Saudi Arabia,Costa Rica,1,3,away_win,1620,1510,0.4703,0.28,0.2497,False,friendly,2016
Italy,Denmark,1,0,home_win,1810,1670,0.4977,0.28,0.2223,False,quarter,2012
Saudi Arabia,Qatar,1,2,away_win,1520,1490,0.391,0.28,0.329,True,friendly,2021
Cameroon,Netherlands,2,2,draw,1660,1750,0.2688,0.28,0.4512,False,group,2013
Argentina,Poland,1,0,home_win,1850,1600,0.582,0.28,0.138,True,final,2010
Italy,Portugal,1,1,draw,1710,1760,0.3085,0.28,0.4115,True,friendly,2013
France,Canada,2,1,home_win,1940,1560,0.6474,0.28,0.0726,False,round_of_16,2024
Australia,Costa Rica,2,1,home_win,1580,1510,0.4316,0.28,0.2884,True,quarter,2019
Costa Rica,Brazil,2,2,draw,1610,1820,0.1655,0.28,0.5545,False,friendly,2016
Wales,Croatia,3,3,draw,1610,1700,0.2688,0.28,0.4512,True,friendly,2012
Qatar,Morocco,3,4,away_win,1590,1650,0.2984,0.28,0.4216,False,group,2012
Canada,Mexico,0,1,away_win,1560,1630,0.2884,0.28,0.4316,True,friendly,2018
Senegal,Italy,1,1,draw,1610,1710,0.2592,0.28,0.4608,True,group,2010
Costa Rica,Morocco,1,0,home_win,1610,1650,0.3187,0.28,0.4013,False,friendly,2013
Portugal,England,0,1,away_win,1860,1790,0.4316,0.28,0.2884,False,friendly,2012
Mexico,Ecuador,1,0,home_win,1730,1570,0.515,0.28,0.205,False,friendly,2020
France,Tunisia,1,0,home_win,1840,1540,0.6113,0.28,0.1087,True,friendly,2024
Croatia,Italy,2,3,away_win,1700,1710,0.3496,0.28,0.3704,True,quarter,2016
Argentina,Morocco,1,1,draw,1850,1650,0.547,0.28,0.173,True,friendly,2025
Spain,Morocco,2,0,home_win,1800,1650,0.5064,0.28,0.2136,True,group,2020
Belgium,USA,0,0,draw,1720,1620,0.4608,0.28,0.2592,True,group,2015
Germany,USA,2,0,home_win,1780,1620,0.515,0.28,0.205,True,quarter,2017
Denmark,Australia,0,1,away_win,1670,1580,0.4512,0.28,0.2688,True,friendly,2019
Poland,Costa Rica,3,0,home_win,1700,1510,0.5393,0.28,0.1807,False,friendly,2020
Spain,Wales,3,2,home_win,1900,1610,0.6059,0.28,0.1141,False,friendly,2014
Iran,Spain,0,0,draw,1530,1800,0.1256,0.28,0.5944,True,round_of_16,2021
Ecuador,Belgium,1,0,home_win,1570,1720,0.2136,0.28,0.5064,True,semi,2025
Belgium,Senegal,0,0,draw,1720,1610,0.4703,0.28,0.2497,True,semi,2016
Argentina,Saudi Arabia,2,1,home_win,1850,1520,0.6263,0.28,0.0937,True,final,2022
Japan,Switzerland,0,0,draw,1740,1660,0.4415,0.28,0.2785,False,final,2025
Morocco,Canada,3,1,home_win,1650,1560,0.4512,0.28,0.2688,True,final,2014
Cameroon,Italy,1,1,draw,1660,1710,0.3085,0.28,0.4115,False,group,2010
Brazil,South Korea,1,1,draw,1820,1590,0.5687,0.28,0.1513,True,group,2014
Netherlands,Poland,1,1,draw,1750,1600,0.5064,0.28,0.2136,True,friendly,2023
Netherlands,Saudi Arabia,1,1,draw,1750,1520,0.5687,0.28,0.1513,True,group,2021
Switzerland,Spain,2,3,away_win,1660,1800,0.2223,0.28,0.4977,True,round_of_16,2024
Iran,Tunisia,4,3,home_win,1630,1540,0.4512,0.28,0.2688,False,group,2023
Wales,Uruguay,0,3,away_win,1610,1680,0.2884,0.28,0.4316,True,quarter,2012
Tunisia,Costa Rica,3,3,draw,1540,1510,0.391,0.28,0.329,True,friendly,2011
Ghana,Iran,4,0,home_win,1550,1530,0.3807,0.28,0.3393,True,friendly,2017
Uruguay,Italy,1,0,home_win,1680,1710,0.329,0.28,0.391,True,group,2020
Poland,Ecuador,1,1,draw,1600,1570,0.391,0.28,0.329,True,friendly,2017
Ghana,Switzerland,1,1,draw,1650,1660,0.3496,0.28,0.3704,False,quarter,2022
Serbia,South Korea,0,2,away_win,1595,1590,0.3652,0.28,0.3548,True,quarter,2018
France,Cameroon,2,1,home_win,1940,1560,0.6474,0.28,0.0726,False,group,2016
Ghana,Argentina,1,2,away_win,1550,1850,0.1087,0.28,0.6113,True,friendly,2024
Cameroon,Spain,4,5,away_win,1660,1800,0.2223,0.28,0.4977,False,group,2022
Belgium,Tunisia,4,1,home_win,1820,1540,0.6002,0.28,0.1198,False,quarter,2019
Germany,Denmark,4,4,draw,1780,1670,0.4703,0.28,0.2497,True,group,2020
Japan,Canada,2,1,home_win,1640,1560,0.4415,0.28,0.2785,True,group,2019
Senegal,Saudi Arabia,3,1,home_win,1610,1520,0.4512,0.28,0.2688,True,round_of_16,2020
Costa Rica,France,3,4,away_win,1510,1840,0.0937,0.28,0.6263,True,round_of_16,2012
Australia,Netherlands,1,0,home_win,1580,1750,0.1967,0.28,0.5233,True,friendly,2024
Wales,Saudi Arabia,2,0,home_win,1710,1520,0.5393,0.28,0.1807,False,round_of_16,2024
France,Germany,2,1,home_win,1940,1780,0.515,0.28,0.205,False,group,2012
Canada,Italy,2,1,home_win,1660,1710,0.3085,0.28,0.4115,False,group,2024
Portugal,Saudi Arabia,3,2,home_win,1860,1520,0.6309,0.28,0.0891,False,group,2016
Denmark,Belgium,3,0,home_win,1770,1720,0.4115,0.28,0.3085,False,friendly,2011
Ecuador,Qatar,0,0,draw,1570,1490,0.4415,0.28,0.2785,True,friendly,2018
Switzerland,England,2,2,draw,1660,1790,0.2313,0.28,0.4887,True,group,2014
Australia,South Korea,0,0,draw,1680,1590,0.4512,0.28,0.2688,False,group,2015
Poland,Uruguay,2,3,away_win,1600,1680,0.2785,0.28,0.4415,True,round_of_16,2021
Argentina,France,0,1,away_win,1850,1840,0.3704,0.28,0.3496,True,group,2025
Spain,South Korea,0,0,draw,1800,1590,0.5545,0.28,0.1655,True,quarter,2025
Costa Rica,Switzerland,1,2,away_win,1510,1660,0.2136,0.28,0.5064,True,group,2019
Denmark,Spain,0,0,draw,1670,1800,0.2313,0.28,0.4887,True,final,2014
Australia,Ghana,0,0,draw,1580,1550,0.391,0.28,0.329,True,friendly,2019
Tunisia,Italy,1,4,away_win,1640,1710,0.2884,0.28,0.4316,False,round_of_16,2019
Morocco,Saudi Arabia,5,5,draw,1650,1520,0.4887,0.28,0.2313,True,friendly,2014
Senegal,Cameroon,2,1,home_win,1610,1560,0.4115,0.28,0.3085,True,round_of_16,2024
Morocco,England,0,2,away_win,1750,1790,0.3187,0.28,0.4013,False,group,2013
